data,Name,Games,passes completed,forward passes,backward passes,sideways passes,chances created,assists created,avg pass length,shots on target,shots off target
Season_16,C. Azpilicueta,13,162.62,36.08,83.31,41.54,0,0.31,0m,0.46,0.77
Season_16,G. Xhaka,10,293.48,70,133.19,88.41,0,0.29,0m,1.3,2.46
Season_16,N. Kanté,13,143.85,33.62,62.38,47.15,0,0.08,0m,0.54,0.77
Season_16,Ander,10,209.8,59.02,81.55,68.06,0,0.7,0m,0.7,1.99
Season_16,Fernandinho,13,142.62,28.38,70,43.23,0,0.08,0m,0.85,1.23
Season_16,P. Pogba,12,150.75,37.48,63.99,48.2,0,0.33,0m,2.66,3.66
Season_16,J. Henderson,13,140.03,31.85,58.07,49.57,0,0.31,0m,0.39,0.7
Season_16,M. Özil,12,162.63,47.99,68.3,45.32,9.1,0.83,0m,1.65,1.1
Season_16,D. Silva,11,177.98,56.06,77.88,43.43,0,0.71,0m,1.72,1.92
Season_16,V. Wanyama,13,134.2,38.39,48.98,46.51,2.47,0.08,0m,1.04,1.43
Season_16,H. Arter,14,123.81,28.24,50.76,44.23,2.13,0.15,0m,0.81,2.13
Season_16,O. Romeu,14,131.23,24.92,62.18,43.36,1.3,0,0m,0.46,0.91
Season_16,D. Lovren,10,171.2,24,95.9,50.4,0.7,0,0m,0.5,0.7
Season_16,N. Otamendi,10,175.09,24.98,93.55,55.61,0,0.1,0m,0.31,0.84
Season_16,J. Vertonghen,13,130.08,22.38,70.69,35.46,0.46,0,0m,0.31,0.38
Season_16,I. Gueye,12,135.8,41.23,57.49,36.66,0,0.08,0m,0.51,0.76
Season_16,E. Dier,12,165.72,29.57,88,46.75,1.3,0,0m,0.7,1
Season_16,N. Matic,13,126.49,33.09,55.41,37.52,0,0.55,0m,0.55,0.47
Season_16,Y. Touré,02,778,216,317.5,242,9.5,0,0m,7.5,6.5
Season_16,J. Milner,12,142.36,41.65,68.5,29.78,0,0.25,0m,1.42,0.75
Season_16,G. Cahill,13,123.4,19.41,69.05,34.1,0.39,0,0m,0.77,0.77
Season_16,A. Kolarov,12,134.3,31.97,60.68,41.04,0,0.09,0m,0.88,1.32
Season_16,N. Clyne,14,109.07,36,45.93,25.86,0,0.14,0m,0.36,1
Season_16,J. Matip,12,126.67,23.33,64.08,38.5,0.75,0,0m,0.33,1.33
Season_16,G. Wijnaldum,13,136.71,49.66,51.47,34.82,0,0.76,0m,1.9,2.38
Season_16,N. Monreal,12,125.36,35.19,61.07,28.42,0,0.17,0m,0.08,0.51
Season_16,C. Eriksen,12,127.96,48.35,48.09,30.83,9.45,1.29,0m,3.86,3.52
Season_16,S. Davis,12,123.15,36.9,53.61,32.3,0,0.26,0m,0.34,1.19
Season_16,E. Hazard,13,119.53,37.35,45.58,36.02,7.32,0.42,0m,2.66,2.25
