data,Name,Games,tackles made,tackles won,intercept,total blocks,total clearances,total red cards,total yellow cards,total saves,saves per goal
Season_16,I. Gueye,12,11.6,8.55,7.45,5.08,0,0,0.93,0.76,0
Season_16,N. Kanté,13,9.77,6.23,6.62,5.62,0,0,0.69,0.31,0
Season_16,O. Romeu,14,9.07,6.71,6.86,4.5,0,0,0.84,0.99,0
Season_16,E. Pieters,12,9.08,6.83,5.08,7.5,10.75,0,0.33,1.67,0
Season_16,C. Fuchs,13,7.69,6.36,5.73,6.28,12.95,0,0.78,1.1,0
Season_16,M. Lowton,13,8,5.38,5,5.77,15,0,0.69,2.15,0
Season_16,N. Monreal,12,7.7,5.24,7.78,6.01,9.14,0,0.42,0.93,0
Season_16,J. Milner,12,8.2,5.52,3.85,6.69,11.38,0,0.42,0.42,0
Season_16,J. Ward,14,6.44,4.87,4.37,5.3,11.67,0,0.5,0.79,0
Season_16,C. Yacob,12,8.42,5.85,5.05,4.52,0,0,0.8,1.6,0
Season_16,Ander,10,10.21,7.28,9.97,5.75,0,0.12,0,0.82,0
Season_16,C. Azpilicueta,13,6.54,4.92,5.62,4,10.38,0,0.31,0.62,0
Season_16,G. Boyd,12,9.58,7.18,4.03,7.84,5.55,0,0.33,0.76,0
Season_16,A. Smith,13,6.54,4.62,4.23,5.23,7.31,0,0.46,1,0
Season_16,H. Arter,14,6.09,4.55,3.81,4.84,0,0.07,0,0.95,0
Season_16,J. Henderson,13,7.26,5.31,3.51,2.58,0,0,0.62,0.23,0
Season_16,A. Clayton,11,8.39,5.95,7.12,6.8,0,0,1.06,2.23,0
Season_16,S. Clucas,13,7.03,4.68,4.53,2.97,0,0.08,0,0.7,0
Season_16,C. Soares,10,9.09,7.01,3.83,6.79,10.07,0,0.77,0.77,0
Season_16,J. Allen,12,8.26,4.77,5.87,4.86,0,0,0.83,0.55,0
Season_16,V. Wanyama,13,7.25,5.02,3.35,3.11,5.34,0,0.8,0.72,0
Season_16,D. Ndong,10,9.02,6.74,5.65,4.78,0,0,0.54,0.87,0
