Data,Team,tackles made,tackles won,intercept,total blocks,total clearances,total red cards,total yellow cards,total saves,saves per goal,totals goals conceded
Defending_15,Leicester City,86.9,65.8,82,75.4,97.2,0.3,5.1,26.9,0.75,3.6
Defending_15,Sunderland,76.45,58.31,56.91,57.01,104.45,0.2,6.58,30.2,0.49,6.18
Defending_15,Tottenham Hotspur,80.3,62.2,64.5,59.7,89.6,0,7.2,23.1,0.66,3.5
Defending_15,Newcastle United,78.77,60.5,64.17,63.18,81.26,0.5,6.06,26.72,0.42,6.36
Defending_15,Watford,79.4,59.7,76.6,59.3,81.1,0.3,7.4,23.7,0.47,5
Defending_15,Everton,72.84,53.58,50.99,64.16,91.6,0.5,4.69,29.04,0.53,5.49
Defending_15,Liverpool,87.2,67.7,54.9,58.7,73.4,0.3,6.4,19.1,0.38,5
Defending_15,West Ham United,71.1,52.7,66.7,57.5,88.6,0.5,5.8,27.3,0.54,5.1
Defending_15,Southampton,71.5,53.9,70.6,58.3,96.2,0.6,6,23.1,0.56,4.1
Defending_15,Arsenal,70.5,52,73.9,55.1,74.5,0.4,4.2,24.7,0.69,3.6
Defending_15,Chelsea,79,59.9,51.7,57.4,66.3,0.6,6,25.9,0.49,5.3
Defending_15,West Bromwich Albion,63.92,45.9,71.88,65.21,91.59,0.3,6.47,28.17,0.59,4.78
Defending_15,Crystal Palace,64.76,49.89,69.65,54.08,81.22,0.2,6.09,29.83,0.58,5.09
Defending_15,Aston Villa,72.6,56.09,76.28,58.18,84.03,0.3,7.56,22.67,0.3,7.56
Defending_15,Swansea City,63.7,47.7,67.9,62.7,94.3,0.1,6,25.5,0.49,5.2
Defending_15,Stoke City,71,53.1,57.7,54.9,72.7,0.5,5.2,27,0.49,5.5
Defending_15,Bournemouth,70.74,52.18,63.76,53.78,86.11,0.1,5.29,19.46,0.29,6.69
Defending_15,Manchester United,76.02,57.54,59.13,47.15,64.53,0.1,6.59,18.58,0.53,3.5
Defending_15,Manchester City,72.9,53.4,63,47.2,82,0,6.1,15.3,0.37,4.1
Defending_15,Norwich City,60.8,45.2,47.3,52,106.3,0.3,6.2,21.1,0.32,6.7
Defending_16,Burnley,64.6,45.7,55.9,66,129.3,0.2,6.6,37.5,0.68,5.5
Defending_16,Sunderland,63.31,47.03,56.66,57.55,123.24,0.4,8.04,35.33,0.51,6.85
Defending_16,Middlesbrough,72.72,53.05,56.62,58.31,116.23,0.1,7.75,26.62,0.5,5.26
Defending_16,Everton,72.32,53.54,47.65,54.94,115.47,0.2,7.29,24.77,0.56,4.4
Defending_16,Hull City,63.76,46.7,58.97,56.87,115.74,0.5,6.69,32.43,0.41,7.98
Defending_16,Leicester City,68.6,49.6,55.1,63.3,108.5,0.1,7.3,27.6,0.44,6.3
Defending_16,Stoke City,68.7,48.6,51.8,52.4,103.5,0.3,7.1,28.7,0.51,5.6
Defending_16,Crystal Palace,70.41,50.92,56.98,53.9,105.31,0,7.76,23.37,0.37,6.27
Defending_16,Manchester United,69.04,48.58,59.21,52.05,115.93,0.4,7.85,18.68,0.64,2.88
Defending_16,Bournemouth,61.3,45.4,47.7,53,114.5,0.3,5.4,27.7,0.41,6.7
Defending_16,Swansea City,64.5,46,48.1,56.5,107.2,0,5.6,26.1,0.37,7
Defending_16,Southampton,68.2,49.2,52.8,61.6,95.1,0.2,6,20.8,0.43,4.8
Defending_16,West Bromwich Albion,60.7,42.86,56.31,56.51,107.44,0,7.97,26.71,0.49,5.38
Defending_16,West Ham United,59.7,44.6,65.5,55.4,121.3,0.6,8.2,24,0.36,6.6
Defending_16,Watford,62.6,45.6,54.2,55.5,105,0.5,8.7,26.5,0.39,6.8
Defending_16,Arsenal,68.1,48,56.2,49.2,88.9,0.4,6.8,22,0.5,4.4
Defending_16,Tottenham Hotspur,66.31,49.56,32.41,49.16,98.72,0,6.15,18.44,0.71,2.58
Defending_16,Liverpool,73.65,52.43,42.72,48.57,91.29,0,5.55,13.78,0.31,4.36
Defending_16,Chelsea,66.7,47.5,52.7,50.4,88.4,0,7.2,15.4,0.47,3.3
Defending_16,Manchester City,65.2,46.6,52.5,43.1,91.8,0.4,7.1,13.1,0.33,4
Defending_17,Everton,64.4,44.7,51.4,52.7,130.8,0.3,5.3,28.2,0.49,5.8
Defending_17,Stoke City,64.78,41.75,44.04,51.5,120.76,0.1,5.92,28.18,0.41,6.5
Defending_17,Huddersfield Town,73.83,49.81,51.5,53.19,112.03,0.3,6.25,22.03,0.38,5.76
Defending_17,Brighton and Hove Albion,60.68,38.59,45.61,54.88,120.34,0.2,5.5,32.07,0.59,5.5
Defending_17,Crystal Palace,65.38,42.47,52.68,53.92,105.94,0,6.87,22.81,0.42,5.25
Defending_17,Burnley,51.51,34.41,38.97,57.15,126.16,0,6.32,30.62,0.79,3.79
Defending_17,Newcastle United,64.33,42.75,44.15,58.63,121.37,0.2,5.29,22.28,0.47,4.69
Defending_17,Southampton,65.65,45.1,46.1,54.88,103.27,0.2,6.39,23.85,0.43,5.59
Defending_17,West Ham United,60.88,40.2,47.25,52.35,106.37,0.2,7.25,27.06,0.4,6.67
Defending_17,Swansea City,61,41.7,39,50.2,101.9,0.1,5.1,26.6,0.48,5.6
Defending_17,Leicester City,62.58,41.42,41.03,57.22,100.03,0.5,5.56,23.54,0.39,5.96
Defending_17,West Bromwich Albion,60.3,38.4,46.9,52.1,108.8,0.1,7.3,25.1,0.45,5.6
Defending_17,Bournemouth,52.13,33.25,37.66,57.88,115.45,0.1,5.75,28.02,0.46,6.26
Defending_17,Watford,66.07,42.73,46.19,42.53,98.51,0.4,6.33,19.19,0.3,6.33
Defending_17,Manchester United,55.84,36.53,47.52,45.64,91.68,0.2,6.34,22.97,0.82,2.77
Defending_17,Chelsea,63.6,42.6,42.3,44.9,84.1,0.5,4.4,19.3,0.51,3.8
Defending_17,Arsenal,61.99,42.26,42.66,44.55,87.71,0.2,5.68,20.53,0.4,5.08
Defending_17,Tottenham Hotspur,61.39,39.64,37.65,43.01,87.12,0.2,5.07,16.99,0.47,3.58
Defending_17,Liverpool,63.7,45,37.9,45.9,78.8,0.1,4.4,13.8,0.36,3.8
